62.60.245.251:443#NL [144.09ms]
103.65.231.157:443#NL [144.57ms]
80.91.65.12:443#NL [146.49ms]
31.220.4.189:2053#NL [150.57ms]
138.124.67.58:443#NL [150.6ms]
144.31.217.77:443#NO [221.31ms]
144.31.217.98:443#NO [1199.31ms]
144.31.248.189:2083#PL [171.02ms]
80.211.249.68:2053#PL [172.12ms]
45.66.11.82:443#PL [184.27ms]
95.85.227.227:443#PL [184.56ms]
45.144.48.57:8443#PL [187.25ms]
83.168.89.182:8443#PL [190.67ms]
45.140.204.38:8443#PL [192.73ms]
2.27.57.223:443#PL [194.89ms]
45.144.49.215:443#PL [195.83ms]
45.144.48.193:8443#PL [199.72ms]
5.182.39.57:443#PT [178.19ms]
5.182.39.243:443#PT [212.07ms]
45.12.131.34:443#PT [232.21ms]
185.138.89.45:2053#PT [323.83ms]
45.12.131.34:8443#PT [1222.38ms]
31.129.22.199:8443#PT [1489.23ms]
45.67.34.89:8443#RO [167.41ms]
176.97.76.192:443#RO [175.33ms]
45.136.199.148:443#RO [191.82ms]
5.252.178.146:8443#RO [215.09ms]
45.67.34.89:443#RO [268.6ms]
154.43.62.76:443#RO [273.18ms]
64.7.198.92:443#RO [299.28ms]
72.5.43.52:443#RO [301.06ms]
45.13.38.36:8443#RO [307.02ms]
185.104.181.228:443#RO [321.47ms]
45.15.160.220:443#RS [159.78ms]
109.71.242.243:8443#RU [112.17ms]
158.255.6.5:2053#RU [119.18ms]
95.213.226.60:443#RU [119.68ms]
147.45.147.212:8443#RU [120.17ms]
158.255.6.5:8443#RU [122.65ms]
176.118.214.216:443#RU [125.55ms]
212.74.227.162:443#RU [133.19ms]
5.35.11.205:2053#RU [135.53ms]
188.68.218.66:443#RU [136.86ms]
194.164.245.177:443#RU [143.81ms]
188.126.77.155:8443#SE [149.35ms]
83.147.254.115:443#SE [163.71ms]
138.124.112.76:443#SE [164.96ms]
109.120.187.185:443#SE [167.65ms]
109.120.187.138:443#SE [167.81ms]
138.124.118.236:443#SE [169.16ms]
80.85.241.117:443#SE [170.5ms]
138.124.59.215:443#SE [174.78ms]
64.112.124.233:8443#SE [175.02ms]
87.121.105.12:443#SE [183.89ms]
45.76.185.254:8443#SG [优选高速 79.55ms]
207.148.125.245:8443#SG [优选高速 82.98ms]
45.89.219.22:443#SG [88.79ms]
45.76.150.232:8443#SG [优选高速 90.53ms]
38.180.9.18:2053#SG [114.89ms]
138.2.72.71:8443#SG [优选高速 125.27ms]
168.138.165.174:443#SG [127.42ms]
139.180.143.248:8443#SG [优选高速 140.87ms]
192.206.117.225:443#SG [186.82ms]
77.93.90.231:443#SG [186.87ms]
194.58.66.220:443#SI [240.72ms]
5.35.103.185:8443#SK [242.62ms]
5.180.55.43:443#SK [259.39ms]
37.9.171.189:443#SK [1256.47ms]
138.2.85.81:2083#TH [116.16ms]
45.136.254.175:443#TH [151.82ms]
45.150.128.181:443#TH [160.33ms]
45.150.128.159:443#TH [161.02ms]
45.154.24.170:443#TH [173.18ms]
45.154.24.89:443#TH [173.67ms]
43.133.110.81:443#TH [212.95ms]
45.150.131.246:443#TH [260.44ms]
8.213.199.128:443#TH [514.43ms]
45.91.134.91:2053#TH [1202.35ms]
130.94.1.150:443#TR [192.72ms]
94.131.123.74:443#TR [197.08ms]
185.234.66.91:443#TR [216.1ms]
2.56.127.230:443#TR [220.72ms]
138.249.20.76:443#TR [266.28ms]
62.3.12.185:443#TR [270.24ms]
82.26.198.74:2083#TR [275.51ms]
156.67.62.109:2053#TR [275.57ms]
138.124.107.101:8443#TR [280.5ms]
45.89.52.247:443#TR [282.05ms]
220.135.92.105:2087#TW [56.41ms]
103.137.63.227:8443#TW [104.87ms]
223.165.4.57:443#TW [261.17ms]
223.165.4.124:2053#TW [329.08ms]
185.248.184.201:2053#TW [1174.21ms]
185.86.77.181:8443#UA [224.76ms]
171.33.241.51:2053#UA [1265.41ms]
91.218.212.223:443#UA [1270.7ms]
47.57.181.17:443#US [47.41ms]
144.79.11.202:8443#US [47.71ms]
31.58.226.196:2053#US [137.6ms]
31.59.136.123:8443#US [141.68ms]
45.159.79.36:2083#US [145.09ms]
64.186.227.27:443#US [145.93ms]
64.186.230.189:8443#US [146.46ms]
154.17.22.207:443#US [146.46ms]
45.156.24.228:2053#US [147.38ms]
23.177.185.138:443#US [150.82ms]
156.38.157.171:2053#ZA [317.65ms]
102.209.117.68:443#ZA [326.55ms]
156.38.157.171:8443#ZA [337.16ms]
139.84.226.30:8443#ZA [396.66ms]
